Rank,Player,Team,Birthdate,Age
 98 ,Colton Watkinson,Albany FireWolves,06-Apr-93, 30 
 101 ,Joe Nardella,Albany FireWolves,11-May-93, 30 
 135 ,Leo Stouros,Albany FireWolves,20-Oct-94, 29 
 178 ,Nick Chaykowsky,Albany FireWolves,17-Sep-96, 27 
 186 ,Doug Jamieson,Albany FireWolves,29-Nov-96, 27 
 200 ,Jackson Nishimura,Albany FireWolves,01-May-97, 26 
 205 ,Mike Byrne,Albany FireWolves,21-Jun-97, 26 
 214 ,Ethan Walker,Albany FireWolves,01-Sep-97, 26 
 216 ,Jeff Trainor (R),Albany FireWolves,13-Sep-97, 26 
 228 ,Patrick Kaschalk,Albany FireWolves,11-Mar-98, 26 
 242 ,John Piatelli,Albany FireWolves,24-Apr-98, 25 
 243 ,Travis Longboat,Albany FireWolves,04-May-98, 25 
 263 ,Jackson Reid,Albany FireWolves,10-Nov-98, 25 
 269 ,Tye Kurtz (R),Albany FireWolves,10-Jan-99, 25 
 279 ,Alex Simmons (R),Albany FireWolves,12-Apr-99, 24 
 284 ,Nathan Grenon,Albany FireWolves,07-Jun-99, 24 
 292 ,Sam Firth,Albany FireWolves,25-Jul-99, 24 
 316 ,Zachary Young (R),Albany FireWolves,03-Mar-00, 24 
 322 ,Marshall Powless,Albany FireWolves,27-Jul-00, 23 
 337 ,Justin Geddie,Albany FireWolves,29-Mar-01, 22 
 356 ,Andrew Kidd (R),Albany FireWolves,08-Oct-02, 21 
 358 ,Nicholas Volkov (R),Albany FireWolves,02-Jul-03, 20 
 2 ,Matt Vinc,Buffalo Bandits,09-Jun-82, 41 
 20 ,Kyle Buchanan,Buffalo Bandits,22-Oct-87, 36 
 34 ,Steve Priolo,Buffalo Bandits,15-Jan-89, 35 
 84 ,Nick Weiss,Buffalo Bandits,16-Aug-92, 31 
 88 ,Dhane Smith,Buffalo Bandits,23-Sep-92, 31 
 93 ,Matt Spanger,Buffalo Bandits,27-Nov-92, 31 
 94 ,Emerson Clark,Buffalo Bandits,17-Dec-92, 31 
 113 ,Frank Brown,Buffalo Bandits,23-Nov-93, 30 
 118 ,Adam Bomberry,Buffalo Bandits,18-Feb-94, 30 
 122 ,Josh Byrne,Buffalo Bandits,15-Apr-94, 29 
 127 ,Ian MacKay,Buffalo Bandits,31-May-94, 29 
 142 ,Justin Martin,Buffalo Bandits,04-Apr-95, 28 
 153 ,Chase Fraser,Buffalo Bandits,03-Aug-95, 28 
 158 ,Brandon Robinson,Buffalo Bandits,13-Oct-95, 28 
 160 ,Chris Cloutier,Buffalo Bandits,04-Dec-95, 28 
 189 ,Brad McCulley,Buffalo Bandits,01-Jan-97, 27 
 195 ,Connor Farrell (R),Buffalo Bandits,25-Mar-97, 26 
 219 ,Justin Robinson,Buffalo Bandits,20-Oct-97, 26 
 223 ,Tehoka Nanticoke,Buffalo Bandits,18-Jan-98, 26 
 227 ,Dalton Sulver,Buffalo Bandits,08-Mar-98, 26 
 274 ,Devlin Shanahan,Buffalo Bandits,10-Feb-99, 25 
 280 ,Steven Orleman,Buffalo Bandits,07-May-99, 24 
 297 ,Cam Wyers (R),Buffalo Bandits,14-Sep-99, 24 
 310 ,Carter McKenzie,Buffalo Bandits,01-Jan-00, 24 
 315 ,Zack Belter (R),Buffalo Bandits,03-Mar-00, 24 
 349 ,Sam La Roue,Buffalo Bandits,03-Jun-02, 21 
 351 ,Dylan Robinson,Buffalo Bandits,01-Jul-02, 21 
 43 ,Steve Fryer,Calgary Roughnecks,11-Apr-90, 33 
 54 ,Logan Schuss,Calgary Roughnecks,23-Jan-91, 33 
 58 ,Jeff Cornwall,Calgary Roughnecks,28-May-91, 32 
 80 ,Jesse King,Calgary Roughnecks,12-Jul-92, 31 
 102 ,Josh Currier,Calgary Roughnecks,15-May-93, 30 
 106 ,Dan Taylor,Calgary Roughnecks,10-Jun-93, 30 
 126 ,Zach Currier,Calgary Roughnecks,30-May-94, 29 
 128 ,Shane Simpson,Calgary Roughnecks,18-Jul-94, 29 
 143 ,Tyler Pace,Calgary Roughnecks,05-Apr-95, 28 
 152 ,Reece Callies,Calgary Roughnecks,27-Jul-95, 28 
 159 ,Thomas Hoggarth,Calgary Roughnecks,20-Oct-95, 28 
 174 ,Eli Salama,Calgary Roughnecks,24-Aug-96, 27 
 197 ,Robert Hudson,Calgary Roughnecks,16-Apr-97, 26 
 213 ,Christian Del Bianco,Calgary Roughnecks,31-Aug-97, 26 
 231 ,Ethan Ticehurst,Calgary Roughnecks,25-Mar-98, 25 
 232 ,Liam LeClair,Calgary Roughnecks,30-Mar-98, 25 
 246 ,Tanner Cook,Calgary Roughnecks,27-May-98, 25 
 252 ,Harrison Matsuoka,Calgary Roughnecks,20-Aug-98, 25 
 262 ,Justin Inacio (R),Calgary Roughnecks,06-Nov-98, 25 
 265 ,Kieran McKay,Calgary Roughnecks,25-Nov-98, 25 
 313 ,Seth Van Schepen,Calgary Roughnecks,19-Feb-00, 24 
 327 ,Haiden Dickson,Calgary Roughnecks,05-Oct-00, 23 
 338 ,Bennett Smith (R),Calgary Roughnecks,05-May-01, 22 
 350 ,Adam Bland,Calgary Roughnecks,13-Jun-02, 21 
 7 ,Paul Dawson,Colorado Mammoth,16-Sep-85, 38 
 23 ,Tyler Carlson,Colorado Mammoth,29-Apr-88, 35 
 45 ,Josh Sullivan,Colorado Mammoth,05-May-90, 33 
 48 ,Joey Cupido,Colorado Mammoth,14-Aug-90, 33 
 55 ,Dillon Ward,Colorado Mammoth,28-Mar-91, 32 
 64 ,Robert Hope,Colorado Mammoth,29-Jul-91, 32 
 74 ,Tyler Garrison,Colorado Mammoth,21-Mar-92, 32 
 77 ,Chris Wardle,Colorado Mammoth,18-Jun-92, 31 
 89 ,Tim Edwards,Colorado Mammoth,08-Oct-92, 31 
 109 ,Eli McLaughlin,Colorado Mammoth,25-Aug-93, 30 
 125 ,Anthony Joaquim,Colorado Mammoth,19-May-94, 29 
 134 ,Jordan Gilles,Colorado Mammoth,05-Oct-94, 29 
 141 ,Connor Kelly,Colorado Mammoth,31-Mar-95, 28 
 146 ,Zed Williams,Colorado Mammoth,23-May-95, 28 
 151 ,Evan Downey,Colorado Mammoth,25-Jul-95, 28 
 177 ,Connor Robinson,Colorado Mammoth,07-Sep-96, 27 
 180 ,Jordan Stouros,Colorado Mammoth,27-Sep-96, 27 
 182 ,Dylan Kinnear,Colorado Mammoth,11-Oct-96, 27 
 183 ,Tyson Gibson,Colorado Mammoth,31-Oct-96, 27 
 188 ,Brett Craig,Colorado Mammoth,16-Dec-96, 27 
 194 ,Warren Jeffrey,Colorado Mammoth,19-Mar-97, 27 
 282 ,Owen Down (R),Colorado Mammoth,10-May-99, 24 
 295 ,Brett Draper (R),Colorado Mammoth,21-Aug-99, 24 
 296 ,Nate Faccin,Colorado Mammoth,14-Sep-99, 24 
 304 ,Jalen Chaster,Colorado Mammoth,23-Oct-99, 24 
 343 ,Ben McDonald (R),Colorado Mammoth,02-Jan-02, 22 
 347 ,Thomas Vela,Colorado Mammoth,09-May-02, 21 
 348 ,Sean Kriwokon (R),Colorado Mammoth,16-May-02, 21 
 14 ,Jeremy Thompson,Georgia Swarm,03-Jan-87, 37 
 16 ,Angus Goodleaf,Georgia Swarm,06-Mar-87, 37 
 27 ,Mike Manley,Georgia Swarm,21-Jul-88, 35 
 37 ,Jordan MacIntosh,Georgia Swarm,19-Sep-89, 34 
 51 ,Shayne Jackson,Georgia Swarm,16-Nov-90, 33 
 52 ,Miles Thompson,Georgia Swarm,08-Dec-90, 33 
 63 ,John Ranagan,Georgia Swarm,09-Jul-91, 32 
 86 ,Lyle Thompson,Georgia Swarm,09-Sep-92, 31 
 100 ,Liam Byrnes,Georgia Swarm,19-Apr-93, 30 
 103 ,Seth Oakes,Georgia Swarm,20-May-93, 30 
 112 ,Bryan Cole,Georgia Swarm,11-Nov-93, 30 
 149 ,Brendan Bomberry,Georgia Swarm,17-Jun-95, 28 
 164 ,Zach Miller,Georgia Swarm,01-Mar-96, 28 
 166 ,Adam Wiedemann,Georgia Swarm,11-Apr-96, 27 
 168 ,Andrew Kew,Georgia Swarm,19-May-96, 27 
 179 ,Kason Tarbell,Georgia Swarm,17-Sep-96, 27 
 190 ,TJ Comizio,Georgia Swarm,07-Jan-97, 27 
 220 ,Jeff Henrick,Georgia Swarm,20-Nov-97, 26 
 250 ,Luke Keenan (R),Georgia Swarm,22-Jul-98, 25 
 286 ,Chet Comizio (R),Georgia Swarm,21-Jun-99, 24 
 299 ,Dustin Hill (R),Georgia Swarm,23-Sep-99, 24 
 301 ,Brady Kearnan (R),Georgia Swarm,28-Sep-99, 24 
 319 ,Brett Dobson,Georgia Swarm,03-Apr-00, 23 
 328 ,Ethan Riggs,Georgia Swarm,11-Oct-00, 23 
 4 ,Ryan Benesch,Halifax Thunderbirds,30-Jan-85, 39 
 12 ,David Brock,Halifax Thunderbirds,13-Aug-86, 37 
 19 ,Cody Jamieson,Halifax Thunderbirds,17-Jul-87, 36 
 76 ,Luc Magnan,Halifax Thunderbirds,30-May-92, 31 
 81 ,Warren Hill,Halifax Thunderbirds,16-Jul-92, 31 
 82 ,Graeme Hossack,Halifax Thunderbirds,22-Jul-92, 31 
 92 ,Randy Staats,Halifax Thunderbirds,23-Nov-92, 31 
 115 ,Jake Withers,Halifax Thunderbirds,12-Feb-94, 30 
 117 ,Tyson Bell,Halifax Thunderbirds,14-Feb-94, 30 
 119 ,Austin Shanks,Halifax Thunderbirds,24-Feb-94, 30 
 137 ,Trevor Smyth,Halifax Thunderbirds,16-Jan-95, 29 
 139 ,Aaron Woods (R),Halifax Thunderbirds,14-Mar-95, 29 
 155 ,Johnny Pearson,Halifax Thunderbirds,07-Sep-95, 28 
 156 ,Colton Armstrong,Halifax Thunderbirds,12-Sep-95, 28 
 172 ,Jake Fox,Halifax Thunderbirds,04-Jul-96, 27 
 196 ,Dawson Theede,Halifax Thunderbirds,15-Apr-97, 26 
 211 ,Clarke Petterson,Halifax Thunderbirds,23-Aug-97, 26 
 236 ,Ryan Terefenko,Halifax Thunderbirds,11-Apr-98, 25 
 240 ,Drew Hutchison,Halifax Thunderbirds,19-Apr-98, 25 
 253 ,Jordan Trottier,Halifax Thunderbirds,20-Aug-98, 25 
 288 ,Max Wilson,Halifax Thunderbirds,01-Jul-99, 24 
 302 ,Nonkon Thompson,Halifax Thunderbirds,19-Oct-99, 24 
 306 ,Wake:Riat BowHunter,Halifax Thunderbirds,13-Nov-99, 24 
 318 ,Brett Beetow (R),Halifax Thunderbirds,02-Apr-00, 23 
 326 ,Cole Kirst (R),Halifax Thunderbirds,26-Sep-00, 23 
 359 ,Briley Maxwell (R),Halifax Thunderbirds,15-Jul-03, 20 
 363 ,Caelan Mander (R),Halifax Thunderbirds,14-Dec-04, 19 
 9 ,Zack Greer,Las Vegas Desert Dogs,12-Feb-86, 38 
 42 ,Casey Jackson,Las Vegas Desert Dogs,28-Feb-90, 34 
 44 ,Tor Reinholdt,Las Vegas Desert Dogs,21-Apr-90, 33 
 49 ,Adrian Sorichetti,Las Vegas Desert Dogs,08-Oct-90, 33 
 78 ,Reid Reinholdt,Las Vegas Desert Dogs,24-Jun-92, 31 
 79 ,Rob Hellyer,Las Vegas Desert Dogs,28-Jun-92, 31 
 95 ,Jacob Ruest,Las Vegas Desert Dogs,22-Dec-92, 31 
 96 ,Erik Turner,Las Vegas Desert Dogs,14-Jan-93, 31 
 148 ,James Barclay,Las Vegas Desert Dogs,13-Jun-95, 28 
 170 ,Blake Gibson-McDonald,Las Vegas Desert Dogs,20-Jun-96, 27 
 201 ,John Wagner,Las Vegas Desert Dogs,04-May-97, 26 
 210 ,Connor Kirst,Las Vegas Desert Dogs,10-Aug-97, 26 
 215 ,Marshal King,Las Vegas Desert Dogs,05-Sep-97, 26 
 230 ,Joel Watson,Las Vegas Desert Dogs,24-Mar-98, 26 
 239 ,Charlie Bertrand,Las Vegas Desert Dogs,19-Apr-98, 25 
 273 ,Thomas Vaesen,Las Vegas Desert Dogs,07-Feb-99, 25 
 332 ,Landon Kells,Las Vegas Desert Dogs,19-Dec-00, 23 
 342 ,Jonathan Gagliardi,Las Vegas Desert Dogs,08-Dec-01, 22 
 11 ,Jay Thorimbert,New York Riptide,06-Jul-86, 37 
 15 ,Stephen Keogh,New York Riptide,16-Feb-87, 37 
 25 ,Corson Kealey (R),New York Riptide,27-May-88, 35 
 29 ,Kevin Brownell,New York Riptide,16-Aug-88, 35 
 31 ,Damon Edwards,New York Riptide,30-Aug-88, 35 
 35 ,Kiel Matisz,New York Riptide,08-Aug-89, 34 
 46 ,John LaFontaine,New York Riptide,15-May-90, 33 
 60 ,Mitch Wilde,New York Riptide,12-Jun-91, 32 
 97 ,Matthew Bennett,New York Riptide,28-Jan-93, 31 
 104 ,Reilly OConnor,New York Riptide,20-May-93, 30 
 162 ,Brent Noseworthy,New York Riptide,06-Feb-96, 28 
 173 ,Connor Kearnan,New York Riptide,02-Aug-96, 27 
 193 ,Larson Sundown,New York Riptide,13-Mar-97, 27 
 199 ,Jeff Teat,New York Riptide,30-Apr-97, 26 
 238 ,Ron John,New York Riptide,17-Apr-98, 25 
 248 ,Callum Jones (R),New York Riptide,01-Jul-98, 25 
 257 ,Matt Marinier,New York Riptide,16-Sep-98, 25 
 271 ,Andrew Borgatti,New York Riptide,27-Jan-99, 25 
 281 ,Austin Madronic,New York Riptide,08-May-99, 24 
 283 ,Colton Lidstone (R),New York Riptide,21-May-99, 24 
 285 ,Matt Anderson (R),New York Riptide,10-Jun-99, 24 
 294 ,Cameron Dunkerley,New York Riptide,16-Aug-99, 24 
 303 ,Zack Deaken (R),New York Riptide,20-Oct-99, 24 
 346 ,Will Johnston (R),New York Riptide,18-Apr-02, 21 
 3 ,Callum Crawford,Panther City Lacrosse Club,07-Nov-84, 39 
 32 ,Tyler Burton,Panther City Lacrosse Club,30-Sep-88, 35 
 56 ,Brandon Goodwin,Panther City Lacrosse Club,01-Apr-91, 32 
 91 ,Tony Malcom,Panther City Lacrosse Club,22-Oct-92, 31 
 111 ,Connor Sellars,Panther City Lacrosse Club,16-Oct-93, 30 
 114 ,Phil Caputo,Panther City Lacrosse Club,08-Feb-94, 30 
 130 ,Matt Hossack,Panther City Lacrosse Club,02-Aug-94, 29 
 147 ,Dylan Hutchison,Panther City Lacrosse Club,26-May-95, 28 
 161 ,Evan Messenger,Panther City Lacrosse Club,27-Dec-95, 28 
 181 ,Liam Patten,Panther City Lacrosse Club,08-Oct-96, 27 
 191 ,Josh Medeiros,Panther City Lacrosse Club,01-Feb-97, 27 
 208 ,Patrick Foley,Panther City Lacrosse Club,24-Jul-97, 26 
 224 ,Jonathan Donville,Panther City Lacrosse Club,04-Feb-98, 26 
 256 ,Ty Thompson,Panther City Lacrosse Club,02-Sep-98, 25 
 261 ,Brent Mitchell,Panther City Lacrosse Club,27-Oct-98, 25 
 268 ,Nick Damude,Panther City Lacrosse Club,30-Dec-98, 25 
 290 ,Cam MacLeod,Panther City Lacrosse Club,19-Jul-99, 24 
 308 ,Will Malcom,Panther City Lacrosse Club,15-Dec-99, 24 
 311 ,Elijah Gash (R),Panther City Lacrosse Club,10-Jan-00, 24 
 331 ,Jason Knox (R),Panther City Lacrosse Club,16-Dec-00, 23 
 334 ,Ryan Sheridan (R),Panther City Lacrosse Club,09-Jan-01, 23 
 345 ,Ronin Pusch (R),Panther City Lacrosse Club,11-Apr-02, 21 
 355 ,Mathieu Gautier,Panther City Lacrosse Club,06-Oct-02, 21 
 6 ,Ian Llord,Philadelphia Wings,09-Jun-85, 38 
 36 ,Joe Resetarits,Philadelphia Wings,22-Aug-89, 34 
 53 ,Zach Higgins,Philadelphia Wings,30-Dec-90, 33 
 59 ,Ben McIntosh,Philadelphia Wings,28-May-91, 32 
 68 ,Mitch Jones,Philadelphia Wings,12-Dec-91, 32 
 75 ,Eric Shewell,Philadelphia Wings,06-Apr-92, 31 
 85 ,Chad Tutton,Philadelphia Wings,31-Aug-92, 31 
 116 ,Blaze Riorden,Philadelphia Wings,13-Feb-94, 30 
 124 ,Ryan Wagner,Philadelphia Wings,14-May-94, 29 
 131 ,Holden Cattoni,Philadelphia Wings,29-Aug-94, 29 
 138 ,Isaiah Davis-Allen,Philadelphia Wings,22-Feb-95, 29 
 198 ,Marcus Minichiello,Philadelphia Wings,21-Apr-97, 26 
 207 ,Scott Dominey,Philadelphia Wings,13-Jul-97, 26 
 226 ,Alex Pace,Philadelphia Wings,08-Mar-98, 26 
 249 ,Taite Cattoni,Philadelphia Wings,22-Jul-98, 25 
 291 ,Mike McCannell,Philadelphia Wings,19-Jul-99, 24 
 298 ,Taggart Clark (R),Philadelphia Wings,21-Sep-99, 24 
 305 ,Nicholas Rowlett (R),Philadelphia Wings,09-Nov-99, 24 
 307 ,Sam LeClair,Philadelphia Wings,18-Nov-99, 24 
 323 ,Tanner Buck (R),Philadelphia Wings,24-Aug-00, 23 
 325 ,Kevin Lynch (R),Philadelphia Wings,31-Aug-00, 23 
 344 ,Jackson Ganton (R),Philadelphia Wings,17-Feb-02, 22 
 354 ,Deacan Knott (R),Philadelphia Wings,20-Sep-02, 21 
 361 ,Mitchell Armstrong (R),Philadelphia Wings,04-Mar-04, 20 
 18 ,Dan Coates,Rochester Knighthawks,06-Apr-87, 36 
 47 ,Greg Harnett,Rochester Knighthawks,30-Jun-90, 33 
 61 ,Brad Gillies,Rochester Knighthawks,14-Jun-91, 32 
 71 ,Curtis Knight,Rochester Knighthawks,20-Feb-92, 32 
 73 ,Ethan OConnor,Rochester Knighthawks,05-Mar-92, 32 
 105 ,Dan Lomas,Rochester Knighthawks,06-Jun-93, 30 
 110 ,Turner Evans,Rochester Knighthawks,11-Sep-93, 30 
 133 ,Doug Buchan,Rochester Knighthawks,20-Sep-94, 29 
 145 ,Matt Gilray,Rochester Knighthawks,11-May-95, 28 
 157 ,Connor Fields,Rochester Knighthawks,10-Oct-95, 28 
 167 ,Cory Highfield,Rochester Knighthawks,16-May-96, 27 
 202 ,Riley Hutchcraft,Rochester Knighthawks,05-Jun-97, 26 
 203 ,Ryland Rees,Rochester Knighthawks,07-Jun-97, 26 
 221 ,Ryan Smith,Rochester Knighthawks,23-Dec-97, 26 
 234 ,Ryan Lanchbury,Rochester Knighthawks,06-Apr-98, 25 
 245 ,Rylan Hartley,Rochester Knighthawks,23-May-98, 25 
 254 ,Tyler Biles,Rochester Knighthawks,21-Aug-98, 25 
 266 ,Taylor Jensen (R),Rochester Knighthawks,20-Dec-98, 25 
 267 ,Joe Post,Rochester Knighthawks,20-Dec-98, 25 
 270 ,Thomas Whitty,Rochester Knighthawks,23-Jan-99, 25 
 275 ,Kyle Waters,Rochester Knighthawks,27-Mar-99, 24 
 277 ,Dylan Sprentz (R),Rochester Knighthawks,07-Apr-99, 24 
 287 ,Mitch Ogilvie,Rochester Knighthawks,25-Jun-99, 24 
 293 ,Pent Eistrat (R),Rochester Knighthawks,28-Jul-99, 24 
 300 ,Tyler Halls,Rochester Knighthawks,25-Sep-99, 24 
 329 ,Austin Hasen,Rochester Knighthawks,18-Oct-00, 23 
 330 ,Thomas McConvey (R),Rochester Knighthawks,21-Oct-00, 23 
 352 ,Ben MacDonnell (R),Rochester Knighthawks,11-Sep-02, 21 
 1 ,Brodie Merrill,San Diego Seals,05-Nov-81, 42 
 8 ,Mike Poulin,San Diego Seals,17-Dec-85, 38 
 13 ,Dane Dobbie,San Diego Seals,01-Dec-86, 37 
 21 ,Jesse Gamble,San Diego Seals,01-Feb-88, 36 
 26 ,Curtis Dickson,San Diego Seals,18-Jul-88, 35 
 30 ,Kyle Rubisch,San Diego Seals,29-Aug-88, 35 
 39 ,Cameron Holding,San Diego Seals,10-Oct-89, 34 
 99 ,Wesley Berg,San Diego Seals,19-Apr-93, 30 
 107 ,Eli Gobrecht,San Diego Seals,02-Aug-93, 30 
 108 ,Kyle Jackson,San Diego Seals,22-Aug-93, 30 
 140 ,Kellen LeClair,San Diego Seals,27-Mar-95, 28 
 169 ,Drew Belgrave,San Diego Seals,05-Jun-96, 27 
 171 ,Trevor Baptiste,San Diego Seals,03-Jul-96, 27 
 206 ,Graydon Bradley,San Diego Seals,25-Jun-97, 26 
 218 ,Danny Logan,San Diego Seals,30-Sep-97, 26 
 222 ,Jerry Staats,San Diego Seals,03-Jan-98, 26 
 225 ,Mac OKeefe,San Diego Seals,06-Feb-98, 26 
 229 ,Tre Leclaire,San Diego Seals,22-Mar-98, 26 
 241 ,Austin Staats,San Diego Seals,23-Apr-98, 25 
 255 ,Patrick Shoemay,San Diego Seals,25-Aug-98, 25 
 289 ,Matt Sykes,San Diego Seals,17-Jul-99, 24 
 321 ,Jake Govett,San Diego Seals,10-May-00, 23 
 333 ,Jacob Dunbar,San Diego Seals,04-Jan-01, 23 
 357 ,Christopher Origlieri,San Diego Seals,19-Dec-02, 21 
 57 ,Mike Mallory,Saskatchewan Rush,18-Apr-91, 32 
 62 ,Mike Triolo,Saskatchewan Rush,27-Jun-91, 32 
 67 ,Robert Church,Saskatchewan Rush,18-Nov-91, 32 
 70 ,Frank Scigliano,Saskatchewan Rush,16-Jan-92, 32 
 120 ,Mike Messenger,Saskatchewan Rush,14-Mar-94, 30 
 132 ,Ryan Keenan,Saskatchewan Rush,10-Sep-94, 29 
 150 ,Adam Jay,Saskatchewan Rush,17-Jul-95, 28 
 154 ,Jerrett Smith,Saskatchewan Rush,18-Aug-95, 28 
 175 ,Holden Garlent,Saskatchewan Rush,27-Aug-96, 27 
 187 ,Cameron Wengreniuk,Saskatchewan Rush,29-Nov-96, 27 
 192 ,Keegan Bell (R),Saskatchewan Rush,18-Feb-97, 27 
 204 ,Connor McClelland,Saskatchewan Rush,08-Jun-97, 26 
 233 ,Nathaniel Kozevnikov (R),Saskatchewan Rush,31-Mar-98, 25 
 247 ,Jake Boudreau,Saskatchewan Rush,15-Jun-98, 25 
 259 ,Bobby Kidd III,Saskatchewan Rush,10-Oct-98, 25 
 260 ,Zach Manns,Saskatchewan Rush,24-Oct-98, 25 
 264 ,Clark Walter,Saskatchewan Rush,23-Nov-98, 25 
 272 ,Ryan Barnable,Saskatchewan Rush,05-Feb-99, 25 
 336 ,Isaac Ngyou,Saskatchewan Rush,08-Mar-01, 23 
 339 ,Laine Hruska,Saskatchewan Rush,01-Jun-01, 22 
 340 ,Patrick Dodds,Saskatchewan Rush,20-Jul-01, 22 
 362 ,Thomas Kiazyk (R),Saskatchewan Rush,16-May-04, 19 
 17 ,Corey Small,Toronto Rock,23-Mar-87, 37 
 22 ,Nick Rose,Toronto Rock,11-Feb-88, 36 
 24 ,Chris Corbeil,Toronto Rock,22-May-88, 35 
 41 ,Mark Matthews,Toronto Rock,27-Jan-90, 34 
 65 ,Sheldon Burns,Toronto Rock,05-Oct-91, 32 
 66 ,Billy Hostrawser,Toronto Rock,20-Oct-91, 32 
 72 ,Tom Schreiber,Toronto Rock,24-Feb-92, 32 
 83 ,Brad Kri,Toronto Rock,23-Jul-92, 31 
 87 ,Dan Lintner,Toronto Rock,15-Sep-92, 31 
 90 ,Mitch de Snoo,Toronto Rock,22-Oct-92, 31 
 121 ,Dan Craig,Toronto Rock,23-Mar-94, 30 
 129 ,Challen Rogers,Toronto Rock,26-Jul-94, 29 
 136 ,Brandon Slade,Toronto Rock,12-Nov-94, 29 
 185 ,Josh Jubenville,Toronto Rock,20-Nov-96, 27 
 209 ,Chris Boushy,Toronto Rock,28-Jul-97, 26 
 237 ,TD Ierlan,Toronto Rock,12-Apr-98, 25 
 251 ,Justin Martin (6N) (R),Toronto Rock,12-Aug-98, 25 
 276 ,Marley Angus (R),Toronto Rock,28-Mar-99, 24 
 309 ,Chris Weier,Toronto Rock,19-Dec-99, 24 
 312 ,Zack Kearney (R),Toronto Rock,12-Jan-00, 24 
 314 ,Phil Mazzuca,Toronto Rock,21-Feb-00, 24 
 317 ,Troy Holowchuk,Toronto Rock,23-Mar-00, 24 
 324 ,Josh Dawick,Toronto Rock,27-Aug-00, 23 
 341 ,Tyler Hendrycks (R),Toronto Rock,01-Nov-01, 22 
 5 ,Aaron Bold,Vancouver Warriors,22-Apr-85, 38 
 10 ,John Lintz,Vancouver Warriors,25-Jun-86, 37 
 28 ,Brett Mydske,Vancouver Warriors,30-Jul-88, 35 
 33 ,Kevin Crowley,Vancouver Warriors,13-Nov-88, 35 
 38 ,Riley Loewen,Vancouver Warriors,26-Sep-89, 34 
 40 ,Matt Beers,Vancouver Warriors,22-Nov-89, 34 
 50 ,Ryan Dilks,Vancouver Warriors,20-Oct-90, 33 
 69 ,Keegan Bal,Vancouver Warriors,31-Dec-91, 32 
 123 ,James Rahe,Vancouver Warriors,28-Apr-94, 29 
 144 ,Tyrell Hamer-Jackson,Vancouver Warriors,04-May-95, 28 
 163 ,Adam Charalambides,Vancouver Warriors,12-Feb-96, 28 
 165 ,Chris Willman,Vancouver Warriors,08-Mar-96, 28 
 176 ,Steph Charbonneau,Vancouver Warriors,06-Sep-96, 27 
 184 ,Kyle Killen,Vancouver Warriors,16-Nov-96, 27 
 212 ,Jackson Suboch,Vancouver Warriors,26-Aug-97, 26 
 217 ,Tyson Kirkness (R),Vancouver Warriors,29-Sep-97, 26 
 235 ,Ryan Martel,Vancouver Warriors,07-Apr-98, 25 
 244 ,Reid Bowering,Vancouver Warriors,19-May-98, 25 
 258 ,Anthony Kalinich,Vancouver Warriors,04-Oct-98, 25 
 278 ,Dylan McIntosh (R),Vancouver Warriors,12-Apr-99, 24 
 320 ,Owen Grant (R),Vancouver Warriors,12-Apr-00, 23 
 335 ,Aden Walsh,Vancouver Warriors,17-Jan-01, 23 
 353 ,Marcus Klarich (R),Vancouver Warriors,14-Sep-02, 21 
 360 ,Brayden Laity (R),Vancouver Warriors,09-Oct-03, 20 
,,,,
,,,,
,,,,
,,,,